"","Li51","Li52","Li54","Li55","Li62","Li63","Li64","Li65","Li11","Li12","Li13","Li14","Li15","Li21","Li22","Li23","Li24","Li25"
"ENSMUSG00000102135",3,3,3,7,1,3,3,4,5,1,4,1,2,3,3,4,1,3
"ENSMUSG00000103282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ENSMUSG00000051285",1551,2775,1648,2835,1355,1776,2107,2623,5212,4280,4743,3787,6196,4943,4654,3723,3243,3824
"ENSMUSG00000098201",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103509",49,39,38,37,34,46,37,44,26,38,41,24,69,6,40,15,23,26
"ENSMUSG00000048538",70,76,73,60,52,76,45,89,95,86,133,102,153,146,153,119,99,120
"ENSMUSG00000103709",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097797",1,1,10,2,4,3,4,4,4,2,2,3,2,1,2,2,0,2
"ENSMUSG00000103498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
"ENSMUSG00000103557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025909",5,8,8,10,3,17,6,11,3,6,4,6,4,2,9,5,4,7
"ENSMUSG00000102647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086235",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084353",1,1,0,0,0,1,1,0,2,2,0,1,2,0,2,1,1,0
"ENSMUSG00000103933",8,5,2,6,4,1,4,8,7,4,8,5,2,10,5,5,4,5
"ENSMUSG00000076135",0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0
"ENSMUSG00000086195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000102316",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103819",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000102871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101571",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102272",0,0,0,1,1,0,2,0,0,3,0,1,1,2,1,0,1,0
"ENSMUSG00000065625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103411",1,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0,1
"ENSMUSG00000061024",964,912,1996,890,1168,807,1671,1995,551,559,580,587,768,900,759,517,364,633
"ENSMUSG00000025911",5463,8399,7268,9116,7185,7223,9530,11950,6800,5199,5764,5295,6669,8056,5621,5336,3256,5628
"ENSMUSG00000079671",65,15,59,4,35,9,68,49,11,15,9,7,5,15,13,7,6,5
"ENSMUSG00000081441",3,1,6,2,1,3,8,3,5,3,3,3,3,2,2,2,2,2
"ENSMUSG00000067879",50,4,100,7,56,16,107,125,2,2,2,2,1,12,5,5,2,4
"ENSMUSG00000099827",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025912",331,108,257,53,135,121,237,241,18,24,24,19,34,24,31,25,11,8
"ENSMUSG00000045210",1684,2123,2057,1985,1703,2001,1980,2567,1979,1574,1918,1425,2503,1849,1639,1305,1279,1521
"ENSMUSG00000097893",13,11,12,17,12,18,16,21,36,47,33,31,26,46,34,29,22,44
"ENSMUSG00000025915",444,564,740,370,461,360,632,682,600,589,539,478,680,556,489,488,308,489
"ENSMUSG00000046334",0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,2,0,1
"ENSMUSG00000088916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046101",5,2,4,1,0,2,4,3,2,1,1,1,6,0,3,4,3,4
"ENSMUSG00000098234",373,562,459,339,337,249,496,556,281,347,248,255,259,362,271,222,123,217
"ENSMUSG00000093178",6,6,6,4,2,6,4,4,3,0,5,2,2,3,0,0,0,1
"ENSMUSG00000099032",149,159,153,19,24,9,73,26,30,90,32,47,59,64,32,73,25,27
"ENSMUSG00000104025",2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"ENSMUSG00000025916",41,49,18,2,5,0,5,3,3,15,10,1,6,6,3,12,0,2
"ENSMUSG00000087199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095780",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025917",2318,2742,3249,2745,2775,2564,3510,4162,3123,2438,2740,2466,3000,3692,2715,2569,1677,2722
"ENSMUSG00000056763",495,373,731,352,549,291,736,902,810,635,912,521,1063,666,664,513,384,586
"ENSMUSG00000102356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000067851",3489,3880,4468,4070,4522,3320,5356,6990,5804,4134,5480,4335,6472,5804,5396,4546,3358,4360
"ENSMUSG00000088153",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102556",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000042501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083422",2,1,0,1,0,1,1,3,0,0,0,1,1,1,0,1,0,0
"ENSMUSG00000094979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100648",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
